id;nombre;nombreGenerico;fraccion;unidadFraccion;vence;control;antibiotico;pos;facturable;stockMinimo;stockMaximo;maxOrdenar;estabilidad;invFarmacia;invAlmacen;enfermeria;terapia;nutricion;cantidad;cums;regSanitario;altoCosto;vrCompra;vrUltimaCompra;codigoAtc;infusion;tipoAdministracion;regulado;vaorRegulado;observaciones;sispro;oncologico;ortesis;epiHigiene;controlStock;AnatoPos;magistralControl;genericoPos;fechaRegistro;estadoReg;concentracion_id;concepto_id;grupo_id;subGrupo_id;tipoSuministro_id;unidadMedida_id;viaAdministracion_id;principioActivo_id;descripcionComercial;fechaExpedicion;fechaVencimiento;registroSanitario;ripsCums_id;ripsDci_id;ripsFormaFarmaceutica_id;ripsTipoMedicamento_id;ripsUnidadDispensa_id;ripsUnidadMedida_id;tipoHonorario_id;cantidadUvr;ripsUnidadUpr_id;requiereAutorizacion
17665;URODIXIN;URODIXIN;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;15447-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 56 TABLETAS;10/23/2024;10/23/2024;INVIMA M-005297;2;1;1;1;1;1;1;0;1;N
17666;LIBRANIDAZOL TABLETAS 500 MG;LIBRANIDAZOL TABLETAS 500 MG;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19908330-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 4 TABLETAS EN BLISTER PVC  PE  PVDC  ALUMINIO;10/23/2024;10/23/2024;INVIMA M-014667;2;1;1;1;1;1;1;0;1;N
17667;LAUDAL;LAUDAL;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19906397-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;POMADERO  (FRASCO)  DE POLIESTIRENO DE ALTA DENSIDAD POR  60 G;10/23/2024;10/23/2024;INVIMA 2010 M-014698-R1;2;1;1;1;1;1;1;0;1;N
17668;FERROFOL;FERROFOL;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19575-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA X 20 TABLETAS;10/23/2024;10/23/2024;M-13472;2;1;1;1;1;1;1;0;1;N
17669;BIBRALIGHT.;BIBRALIGHT.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19914195-3;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA DE CARTULINA POR 30 SOBRES;10/23/2024;10/23/2024;INVIMA M-15063;2;1;1;1;1;1;1;0;1;N
17670;PILOGaN GEL 2%;PILOGaN GEL 2%;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;19906898-23;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 100 SACHETS EN P-600 X 15g CADA UNO.;10/23/2024;10/23/2024;INVIMA 2016 M-14336-R2;2;1;1;1;1;1;1;0;1;N
17671;ACETAMINOFEN JARABE;ACETAMINOFEN JARABE;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1983163-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO POR 120ML.;10/23/2024;10/23/2024;M-004693;2;1;1;1;1;1;1;0;1;N
17672;ZYDAN 10 MG TABLETAS;ZYDAN 10 MG TABLETAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1985609-4;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA POR 50 TABLETAS EN BLISTER PVDCALUMINIO.;10/23/2024;10/23/2024;INVIMA-011155;2;1;1;1;1;1;1;0;1;N
17673;TAKIMEL 40 MG CAPSULAS;TAKIMEL 40 MG CAPSULAS;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1983091-2;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;CAJA X 20 CAPSULAS;10/23/2024;10/23/2024;INVIMA M-14429;2;1;1;1;1;1;1;0;1;N
17674;PAX JARABE.;PAX JARABE.;0;NULL;N;N;N;N;N;0;0;0;0;N;N;N;N;N;1;1984166-1;NULL;N;0;0;NULL;N;NULL;N;0;NULL;N;N;N;N;N;N;N;N;NULL;A;1;6;1;1;1;1;1;1;FRASCO POR 120 ML.;10/23/2024;10/23/2024;INVIMA M-005016;2;1;1;1;1;1;1;0;1;N
