id;codigo;nombre
1;1;Contributivo cotizante
2;2;Contributivo beneficiario
3;3;Contributivo adicional
4;4;Subsidiado
5;5;No afiliado
6;6;Especial o Excepcion cotizante
7;7;Especial o Excepcion beneficiario
8;8;Personas privadas de la libertad a cargo del Fondo Nacional de Salud
9;9;Tomador / Amparado ARL
10;10;Tomador / Amparado SOAT
11;11;Tomador / Amparado Planes  voluntarios de salud
12;12;Particular
13;13;Especial o Exepcion no cotizante Ley 352 de 1997
