id;nombre;fechaRegistro;estadoReg
1;PACIENTE COMUN;27/06/2024 15:52;A
2;HABITANTE DE CALLE;27/06/2024 15:54;A
3;RECLUIDO EN CENTRO;27/06/2024 15:54;A
4;POBLACION INDIGENA;9/07/2024 9:15;A
5;POBLACION DESPLAZADA;9/07/2024 9:15;A
6;MAYORES DE 60 AÑOS;9/07/2024 9:15;A
7;GESTANTES;9/07/2024 9:15;A
