id;nombre;estadoReg
1;SALA QUIROFANO;A
2;SALA ESPECIAL;A
3;SALA DE ENDOSCOPIA;A
4;SALA BASICA;A
5;SALA DE RECUPERACION;A
6;SALA DE OBSERVACION DE URGENCIAS;A
