id;codigo;nombre
1;1;COPAGO
2;2;CUOTA MODERADORA
3;3;PAGOS COMPARTIDOS EN PLANES VOLUNTARIOS DE SALUD
4;4;ANTICIPO
5;5;NO APLICA
