id;codigoHomologado;valorHonorarioAnestesiologo;valorHonorarioCirujano;valorHonorarioDobleVia;valorHonorarioPerfucionista;valorHonorarioUnicaVia;valorHonorarioViaAcceso;valorHonorarioAyudante;fechaRegistro;estadoReg;codigoCups_id;concepto_id;tiposTarifa_id;usuarioRegistro_id;serviciosAdministrativos_id
1;471100;556;0;0;0;0;0;0;NULL;A;1;3;1;NULL;4
2;472100-01;0;0;0;0;0;0;0;NULL;A;1;3;1;NULL;4
