id;codigo;nombre
1;105;CUIDADO INTERMEDIO NEONATAL
2;106;CUIDADO INTERMEDIO PEDIATRICO
3;107;CUIDADO INTERMEDIO ADULTOS
4;108;CUIDADO INTENSIVO NEONATAL
5;109;CUIDADO INTENSIVO PEDIATRICO
6;110;CUIDADO INTENSIVO ADULTOS
7;1101;ATENCION DEL PARTO
8;1102;URGENCIAS
9;1103;TRANSPORTE ASISTENCIAL BASICO
10;1104;TRANSPORTE ASISTENCIAL MEDICALIZADO
11;1105;ATENCION PREHOSPITALARIA
13;129;HOSPITALIZACION ADULTOS
14;130;HOSPITALIZACION PEDIATRICA
12;120;CUIDADO BASICO NEONATAL
