id;codigo;nombre
1;1;PACIENTE CON DESTINO A SU DOMICILIO
2;2;PACIENTE MUERTO
3;3;PACIENTE DERIVADO A OTRO SERVICIO
4;4;REFERIDO A OTRA INSTITUCION
5;5;CONTRAREFERIDO A OTRA INSTITUCION
6;6;DERIVADO O REFERIDO A HOSPITALIZACION DOMICILIRIA
7;7;DERIVADO A SERVICIO SOCIAL
8;8;PACIENTE CONTINUA EN EL SERVICIO (CORTE FACTURACION)
