id;nombre;municipioCodigoDian;fechaRegistro;estadoReg;departamento_id;ripsMunicipios_id
3;SOATA;15753;8/07/2024 4:31;A;1;2
1;MEDELLIN;5001;8/07/2024 4:27;A;1;1
2;BOGOTA, D.C;11001;8/07/2024 4:29;A;1;2
4;CHIA;NOSE;14/08/2025 4:42;A;1;2
