id;nombre;fechaRegistro;estadoReg;departamentoCodigoDian;pais_id
1;CUNDINAMARCA;1/09/2022 19:25;A;11;1
2;BOYACA;1/09/2022 19:25;A;15;1
3;BOLIVAR;1/09/2022 19:25;A;13;1
4;ANTIOQUIA;1/09/2022 19:25;A;5;1
