id;codigo;nombre
1;1;AMPOLLA
2;10;ENVASE
3;11;CAJA
4;12;LATA
5;13;FRASCO
6;14;CAPSULA
7;15;CARTON
8;16;CARTUCHO
9;17;ESTUCHE
10;18;PELICULA DE PVC TRANSPARENTE DE COLORES
11;19;UNIDADES CLINICAS
12;2;APLICADOR
13;20;RECUBRIMIENTO
14;21;CONTENEDOR
